user_id,age,gender,province,device_type,registration_date,last_login_date,days_since_reg,days_since_last_login,sessions_last_7d,level,total_spent,is_payer,churn_next_7d
user_0,17,Female,Zhejiang,Android,2025-08-25,2025-11-09,128,52,0,5,0.0,0,1
user_1,48,Female,Sichuan,Android,2025-09-21,2025-12-28,101,3,10,27,0.0,0,0
user_2,50,Female,Sichuan,Android,2025-08-15,2025-12-27,138,4,14,42,0.0,0,0
user_3,43,Male,Shanghai,iOS,2025-04-20,2025-12-22,255,9,0,73,0.0,0,0
user_4,40,Female,Sichuan,iOS,2025-10-30,2025-12-22,62,9,0,17,0.0,0,0
user_5,25,Female,Shanghai,Android,2025-01-13,2025-12-24,352,7,13,100,2620.7,1,0
user_6,30,Female,Shanghai,Android,2025-04-01,2025-12-24,274,7,13,64,0.0,0,0
user_7,19,Female,Sichuan,Android,2025-04-02,2025-12-01,273,30,0,7,0.0,0,1
user_8,30,Female,Sichuan,Android,2025-03-09,2025-12-24,297,7,14,72,199.97,1,0
user_9,45,Male,Shanghai,iOS,2025-09-19,2025-12-21,103,10,0,22,0.0,0,0
user_10,27,Male,Guangdong,iOS,2025-08-25,2025-12-21,128,10,0,26,0.0,0,0
user_11,50,Female,Beijing,iOS,2025-11-02,2025-12-30,59,1,15,17,135.84,1,0
user_12,19,Male,Sichuan,Android,2025-08-19,2025-11-08,134,53,0,16,0.0,0,1
user_13,24,Male,Guangdong,iOS,2025-12-27,2025-12-31,4,0,16,2,13.23,1,0
user_14,46,Female,Shanghai,iOS,2025-04-24,2025-11-07,251,54,0,32,0.0,0,1
user_15,33,Male,Guangdong,iOS,2025-02-22,2025-12-30,312,1,16,100,55.3,1,0
user_16,45,Male,Beijing,Android,2025-09-29,2025-12-30,93,1,16,35,0.0,0,0
user_17,38,Female,Zhejiang,Android,2025-03-08,2025-11-03,298,58,0,14,0.0,0,1
user_18,33,Male,Zhejiang,Android,2025-10-27,2025-12-27,65,4,12,17,0.0,0,0
user_19,36,Male,Zhejiang,Android,2025-11-27,2025-11-02,34,59,0,1,0.0,0,1
user_20,21,Female,Sichuan,Android,2025-12-12,2025-11-11,19,50,0,3,0.0,0,1
user_21,28,Male,Sichuan,Android,2025-12-19,2025-12-17,12,14,0,2,0.0,0,1
user_22,45,Female,Shanghai,iOS,2025-05-31,2025-12-10,214,21,0,16,0.0,0,1
user_23,49,Female,Sichuan,Android,2025-05-09,2025-12-31,236,0,16,80,16.8,1,0
user_24,22,Female,Beijing,iOS,2025-07-19,2025-12-10,165,21,0,15,0.0,0,1
user_25,37,Male,Shanghai,Android,2025-07-06,2025-12-28,178,3,11,40,0.0,0,0
user_26,26,Male,Guangdong,Android,2025-07-20,2025-11-12,164,49,0,12,0.0,0,0
user_27,34,Female,Beijing,iOS,2025-04-28,2025-12-24,247,7,13,73,116.78,1,0
user_28,40,Female,Zhejiang,Android,2025-07-26,2025-12-22,158,9,0,30,0.0,0,0
user_29,16,Male,Sichuan,iOS,2025-05-06,2025-11-10,239,51,0,41,0.0,0,0
user_30,30,Female,Guangdong,Android,2025-05-19,2025-12-21,226,10,0,62,147.69,1,0
user_31,40,Male,Beijing,iOS,2025-06-04,2025-11-22,210,39,0,5,0.0,0,1
user_32,49,Male,Shanghai,iOS,2025-03-18,2025-12-18,288,13,0,19,0.0,0,1
user_33,49,Female,Zhejiang,Android,2025-01-14,2025-12-17,351,14,0,31,0.0,0,1
user_34,40,Male,Shanghai,iOS,2025-06-28,2025-11-03,186,58,0,32,0.0,0,1
user_35,17,Male,Beijing,iOS,2025-06-21,2025-12-24,193,7,11,48,0.0,0,0
user_36,25,Male,Guangdong,Android,2025-02-12,2025-11-04,322,57,0,11,0.0,0,1
user_37,41,Female,Guangdong,Android,2025-06-01,2025-12-22,213,9,0,33,0.0,0,0
user_38,17,Male,Sichuan,iOS,2025-12-24,2025-12-26,7,5,12,2,75.14,1,1
user_39,42,Male,Zhejiang,Android,2025-12-27,2025-12-26,4,5,8,1,0.0,0,0
user_40,46,Male,Sichuan,iOS,2025-04-26,2025-12-31,249,0,16,90,0.0,0,0
user_41,31,Female,Sichuan,iOS,2025-09-19,2025-12-31,103,0,16,38,109.81,1,0
user_42,32,Male,Sichuan,Android,2025-03-12,2025-12-23,294,8,0,63,0.0,0,0
user_43,32,Male,Guangdong,Android,2025-10-14,2025-12-31,78,0,19,26,0.0,0,0
user_44,40,Female,Sichuan,Android,2025-10-06,2025-12-23,86,8,0,19,27.87,1,0
user_45,31,Male,Shanghai,iOS,2025-01-17,2025-12-26,348,5,15,100,80.29,1,0
user_46,45,Female,Beijing,iOS,2025-07-06,2025-12-22,178,9,0,36,59.4,1,0
user_47,29,Male,Sichuan,Android,2025-12-13,2025-12-28,18,3,10,3,0.0,0,0
user_48,23,Male,Zhejiang,iOS,2025-04-05,2025-11-30,270,31,0,18,0.0,0,1
user_49,37,Male,Shanghai,iOS,2025-01-15,2025-12-30,350,1,15,100,15.04,1,0
user_50,21,Male,Beijing,Android,2025-06-01,2025-12-30,213,1,15,74,0.0,0,0
user_51,31,Male,Zhejiang,iOS,2025-04-11,2025-12-30,264,1,19,97,97.33,1,0
user_52,32,Male,Beijing,Android,2025-06-21,2025-11-13,193,48,0,9,0.0,0,1
user_53,44,Male,Zhejiang,iOS,2025-11-06,2025-12-26,55,5,14,16,2807.37,1,0
user_54,29,Male,Shanghai,Android,2025-07-18,2025-12-03,166,28,0,13,0.0,0,1
user_55,19,Female,Beijing,Android,2025-01-06,2025-12-27,359,4,11,80,87.14,1,0
user_56,25,Female,Zhejiang,Android,2025-10-02,2025-12-21,90,10,0,15,0.0,0,0
user_57,48,Male,Beijing,Android,2025-10-07,2025-12-01,85,30,0,11,0.0,0,1
user_58,29,Male,Sichuan,iOS,2025-03-27,2025-12-23,279,8,0,51,0.0,0,0
user_59,33,Male,Guangdong,Android,2025-10-28,2025-12-21,64,10,0,17,0.0,0,1
user_60,19,Female,Beijing,iOS,2025-07-08,2025-12-19,176,12,0,21,0.0,0,1
