user_id,age,gender,province,device_type,registration_date,last_login_date,total_spent,paid_before,session_count,days_since_last_login,churn_next_7d,level,play_sessions,play_time,fail_count,success_count,play_streak,average_session_time,progress_stall,average_spend_per_session,last_purchase_amount,purchase_frequency,subscription_status,special_event_spending,rewarded_ads_views,ad_watch_duration,interstitial_ads_views,ad_engagement_level,ad_revenue,friends_count,guild_membership,social_interactions,social_activity_frequency,leaderboard_rank,first_login_date,login_frequency,login_streak,session_timing
user_0,41,Female,Guangdong,Mobile,2023-03-02,2023-03-12,41.123024965521466,0,94,1064,0,28,25,36,6,8,16,29.09412125650291,0,34.0272827771805,181.82245670673157,7,1,6.718519652390132,14,8,19,3,21.272455827590846,142,1,12,5,446,2023-02-16,4,4,Evening
user_1,54,Female,Guangdong,PC,2025-08-03,2025-08-12,717.879944694335,0,80,180,1,28,44,54,5,9,9,21.816539048248508,5,22.314224779352685,161.89414137882176,7,1,25.270785970912492,11,10,16,2,37.204022205253004,118,0,23,1,957,2023-12-09,6,20,Afternoon
user_2,49,Male,Shanghai,PC,2025-08-20,2025-08-30,1140.9337271815136,0,7,162,0,25,60,50,1,0,27,18.95141540684407,0,28.377447002415067,179.0388572384887,9,0,19.78546496776644,14,29,3,0,48.29122122208162,193,1,37,19,80,2024-06-26,4,10,Afternoon
user_3,45,Female,Shandong,PC,2023-11-27,2023-12-04,2683.8158449270113,0,16,797,0,3,47,37,2,7,24,29.727814967316313,3,3.844270513906687,3.31369365578796,5,0,54.204198455394895,13,26,18,1,11.460310558134552,188,0,25,10,17,2025-03-29,6,1,Evening
user_4,42,Female,Shandong,PC,2023-12-04,2023-12-08,968.561483089972,0,99,793,0,22,40,34,0,1,29,35.040055653691155,4,35.11691028972612,193.2146953812964,6,1,60.16700217635938,6,2,6,2,7.182368253605981,59,1,8,21,138,2025-11-25,1,14,Morning
user_5,41,Male,Zhejiang,Mobile,2024-09-30,2024-10-19,1628.3926029902595,0,16,477,1,23,7,51,9,0,17,26.75176348986021,0,3.5884075797226984,95.23250240644919,3,1,60.85717243060165,16,19,10,0,45.64408726113485,135,0,18,29,652,2025-01-26,6,18,Morning
user_6,53,Female,Guangdong,Mobile,2023-10-02,2023-10-12,87.438673189848,1,40,850,0,14,46,53,4,7,20,10.932838658291681,2,41.03716239906282,159.83841492539375,1,0,38.81810010456791,4,14,12,1,33.44765387286518,43,1,27,13,851,2023-12-17,6,12,Morning
user_7,45,Female,Shanghai,Mobile,2023-11-15,2023-11-18,487.66183929804623,0,12,813,0,26,23,55,8,1,7,23.842035724767282,3,41.422399543567316,26.313619748218393,2,0,42.1229733685496,19,8,2,3,21.899301078098297,42,1,6,23,508,2023-07-07,2,19,Evening
user_8,45,Female,Shanghai,PC,2024-08-11,2024-09-05,468.3204617337651,0,35,521,1,25,83,42,5,5,11,23.882798226819194,4,12.616787090254515,79.79227806698084,8,0,83.423842964064,9,19,13,3,28.662978513214156,133,1,44,24,552,2023-11-30,9,23,Afternoon
user_9,38,Female,Shandong,Mobile,2024-05-18,2024-06-08,2174.0882464427264,0,21,610,1,15,46,55,4,5,8,26.313954844138234,5,16.859476270754215,55.02067194117719,1,1,47.62328135171624,18,1,1,3,37.2806952588122,154,0,21,23,919,2024-04-27,6,12,Afternoon
user_10,42,Female,Guangdong,PC,2024-01-22,2024-02-20,164.13337467602713,0,50,719,1,2,86,23,2,4,7,30.12876703130657,0,24.584208549356372,59.040095329686466,7,1,98.77733321371224,17,16,17,4,38.65159493528586,172,1,29,23,680,2024-10-28,7,25,Afternoon
user_11,37,Female,Zhejiang,Mobile,2025-05-19,2025-06-07,164.74042146326718,1,43,246,0,24,13,17,4,7,28,10.579552106030214,4,30.236482439691592,25.527868370225466,5,1,43.96172300088649,9,25,4,4,45.99470904094823,22,1,36,11,74,2023-10-23,2,28,Afternoon
user_12,36,Female,Guangdong,Mobile,2025-04-12,2025-05-03,398.32786376902595,1,17,281,1,14,21,57,7,2,19,25.060378731992515,2,15.080329425357839,161.3470026760584,6,1,64.9580944617839,1,24,12,4,21.342139444781132,121,1,15,15,74,2023-02-14,2,5,Evening
user_13,46,Female,Beijing,PC,2025-10-11,2025-10-13,56.00548181586985,0,32,118,0,16,1,23,1,9,20,27.64923308141772,3,30.031833826964327,2.839220601634554,8,0,5.03629989933958,5,15,12,4,14.67054550096975,140,0,35,2,50,2024-05-09,2,4,Morning
user_14,40,Female,Guangdong,Mobile,2024-08-25,2024-09-21,201.45305110891175,0,41,505,0,7,19,10,4,3,12,20.30060159248156,3,15.591566588235645,63.1885859400553,4,1,65.33399244188108,2,20,13,0,31.983213339492096,195,1,4,6,10,2023-06-24,9,13,Morning
user_15,36,Female,Beijing,Mobile,2024-11-21,2024-12-11,3358.4149002699346,0,6,424,1,4,60,25,5,6,7,30.050956797712992,5,3.719045332481973,35.70769810006659,6,1,85.1426394415006,18,24,11,0,20.78639496397652,83,0,28,21,103,2025-09-30,3,18,Morning
user_16,35,Male,Beijing,PC,2024-05-08,2024-05-18,558.9379125124442,1,88,631,0,18,33,27,9,6,8,16.845331513875134,5,1.1238499417635386,118.21874918105976,3,1,94.24578385332963,4,5,12,3,29.729922697448895,105,0,22,11,862,2023-02-25,4,29,Morning
user_17,46,Female,Zhejiang,Mobile,2024-05-04,2024-05-06,999.7245389756055,1,27,643,0,24,4,16,7,7,7,19.521169992023548,5,5.956401838003002,51.59622812029423,7,0,99.73206116397705,6,3,17,1,20.99928992279751,63,1,5,15,388,2023-12-07,1,12,Afternoon
